Time[s], SCL, SDA
-0.100000000000000, 1, 1
0.000000000000000, 1, 0
0.000000718750000, 0, 0
0.000005750000000, 0, 1
0.000005875000000, 1, 1
0.000006562500000, 0, 1
0.000006937500000, 0, 0
0.000007187500000, 1, 0
0.000007875000000, 0, 0
0.000008250000000, 0, 1
0.000008500000000, 1, 1
0.000009187500000, 0, 1
0.000009562500000, 0, 0
0.000009812500000, 1, 0
0.000010500000000, 0, 0
0.000011125000000, 1, 0
0.000011812500000, 0, 0
0.000012437500000, 1, 0
0.000013125000000, 0, 0
0.000013750000000, 1, 0
0.000014437500000, 0, 0
0.000015062500000, 1, 0
0.000015750000000, 0, 0
0.000016375000000, 1, 0
0.000017062500000, 0, 0
0.000017218750000, 0, 1
0.000022437500000, 0, 0
0.000022875000000, 1, 0
0.000023562500000, 0, 0
0.000024187500000, 1, 0
0.000024875000000, 0, 0
0.000025250000000, 0, 1
0.000025500000000, 1, 1
0.000026187500000, 0, 1
0.000026562500000, 0, 0
0.000026812500000, 1, 0
0.000027500000000, 0, 0
0.000028125000000, 1, 0
0.000028812500000, 0, 0
0.000029437500000, 1, 0
0.000030125000000, 0, 0
0.000030750000000, 1, 0
0.000031437500000, 0, 0
0.000032062500000, 1, 0
0.000032750000000, 0, 0
0.000033375000000, 1, 0
0.000034062500000, 0, 0
0.000034218750000, 0, 1
0.000034375000000, 0, 0
0.000039375000000, 1, 0
0.000040062500000, 0, 0
0.000040687500000, 1, 0
0.000041375000000, 0, 0
0.000042000000000, 1, 0
0.000042687500000, 0, 0
0.000043312500000, 1, 0
0.000044000000000, 0, 0
0.000044625000000, 1, 0
0.000045312500000, 0, 0
0.000045937500000, 1, 0
0.000046625000000, 0, 0
0.000047250000000, 1, 0
0.000047937500000, 0, 0
0.000048562500000, 1, 0
0.000049250000000, 0, 0
0.000049875000000, 1, 0
0.000050562500000, 0, 0
0.000050718750000, 0, 1
0.000050875000000, 0, 0
0.000055375000000, 0, 1
0.000055812500000, 1, 1
0.000056500000000, 0, 1
0.000056875000000, 0, 0
0.000057125000000, 1, 0
0.000057812500000, 0, 0
0.000058187500000, 0, 1
0.000058437500000, 1, 1
0.000059125000000, 0, 1
0.000059500000000, 0, 0
0.000059750000000, 1, 0
0.000060437500000, 0, 0
0.000061062500000, 1, 0
0.000061750000000, 0, 0
0.000062125000000, 0, 1
0.000062375000000, 1, 1
0.000063062500000, 0, 1
0.000063437500000, 0, 0
0.000063687500000, 1, 0
0.000064375000000, 0, 0
0.000064750000000, 0, 1
0.000065000000000, 1, 1
0.000065687500000, 0, 1
0.000065906250000, 0, 0
0.000066312500000, 1, 0
0.000067000000000, 0, 0
0.000067156250000, 0, 1
0.000071812500000, 0, 0
0.000072000000000, 1, 0
0.000073125000000, 1, 1
0.000217562500000, 1, 0
0.000218250000000, 0, 0
0.000223218750000, 0, 1
0.000223343750000, 1, 1
0.000224062500000, 0, 1
0.000224437500000, 0, 0
0.000224687500000, 1, 0
0.000225375000000, 0, 0
0.000225718750000, 0, 1
0.000225968750000, 1, 1
0.000226687500000, 0, 1
0.000227062500000, 0, 0
0.000227312500000, 1, 0
0.000228000000000, 0, 0
0.000228625000000, 1, 0
0.000229312500000, 0, 0
